word,count
yang,710
dan,528
food,473
sea,464
salt,445
taste,397
time,396
rice,365
crisps,342
plant,309
day,280
flavor,273
order,252
rumput,251
bugak,247
omg,245
crispy,233
sushi,232
ini,230
don,224
cheese,219
gim,218
vegan,213
rasa,212
way,209
dari,204
yg,203
