word,count
good,869
more,647
healthy,591
great,567
new,485
korean,455
delicious,428
best,384
nori,377
nice,369
free,349
favorite,330
much,279
super,267
untuk,265
amazing,260
little,231
original,221
perfect,213
tasty,203
happy,197
awesome,197
dengan,197
other,196
sweet,176
low,169
beautiful,148
