word,count
just,569
not,563
only,433
when,392
very,340
too,335
how,318
really,307
also,290
now,256
spicy,251
ni,241
here,187
where,180
well,176
never,162
first,160
most,158
back,158
right,143
always,131
ever,130
pretty,129
then,118
actually,117
even,116
definitely,111
still,110
bit,109
