word,count
love,1412
good,869
yang,710
try,639
one,612
healthy,591
great,567
dan,528
new,485
food,473
di,469
sea,464
korean,455
salt,445
re,438
delicious,428
de,418
taste,397
time,396
looks,385
eat,384
best,384
nori,377
nice,369
rice,365
free,349
yummy,341
make,340
favorite,330
see,325
