word,count
love,891
yang,578
good,530
dan,443
healthy,413
di,376
try,375
one,373
great,339
salt,334
food,294
kelp,285
delicious,271
best,270
sea,266
laver,265
plant,265
free,264
nori,263
new,253
eat,244
re,243
taste,241
roasted,237
looks,236
time,232
korean,231
laut,227
see,225
