,date,user_id,text,like,tag,pp_text,like_point
1562,2016-04-20T03:59:43.000Z,biancapennington,💙,224주답글 달기,,,0
1563,2019-10-20T07:36:18.000Z,preciousvegan_,"🦁 was definitely enjoying @abakusfoods brand new seaweed crisps! Have you tried them? ..Have you tried @abakusfoods NEW Seaweed crisps with a real crunch? They were kind enough to send me three packets of their new flavours; lightly salted, salt and vinegar and cheese 🥰...@abakusfoods Seaweed Crisps are made of seaweed harvested from the deep blue seas of South Korea, and coated with a thin layer of crunchy tapioca!..The crisps are so tasty and are gluten-free, vegan..Seaweed is known for its vitamin and mineral content, and is a source of iodine which helps support cognitive function and functioning of the nervous system. Tapioca, extracted from the roots of the cassava plant, is a ""resistant starch"" which feeds the friendly gut-bacteria to the gut, thereby reducing inflammation and increasing fullness...1% of sales from this range goes towards charities in support of environmental causes...Ingredients: Tapioca (37%), seaweed (nori) (26%), non-GMO corn oil, rice, sea salt, white miso (non-GMO soya beans), onion powder...#ad #snack #crisps #vegan #freefrom #glutenfree #seaweed #seaweedsnacks #seaweedcrisps #nogmo #healthy #healthysnack #vegansnack #vegancrisps #snackideas #vegansnackideas #treat #vegantreat #yum #yummy #tasty #veganblog #veganboy #veganbaby #raisedvegan","[<meta content=""좋아요 34개, 댓글 2개 - Instagram의 Jada Kush(@preciousvegan_)님: &amp;quot;🦁 was definitely enjoying @abakusfoods brand new seaweed crisps! Have you tried them? . . Have you…&amp;quot;"" name=""description""/>]",#snack #crisps #vegan #freefrom #glutenfree #seaweed #seaweedsnacks #seaweedcrisps #nogmo #healthy #healthysnack #vegansnack #vegancrisps #snackideas #vegansnackideas #treat #vegantreat #yum #yummy #tasty #veganblog #veganboy #veganbaby #raisedvegan,was definitely enjoyingabakusfoods brand new seaweed crispsHave you tried themHave you triedabakusfoods NEW Seaweed crisps with a real crunchThey were kind enough to send me three packets of their new flavourslightly saltedsalt and vinegar and cheeseabakusfoods Seaweed Crisps are made of seaweed harvested from the deep blue seas of South Koreaand coated with a thin layer of crunchy tapioca The crisps are so tasty and are gluten freeveganSeaweed is known for its vitamin and mineral contentand is a source of iodine which helps support cognitive function and functioning of the nervous systemTapiocaextracted from the roots of the cassava plantis aresistant starchwhich feeds the friendly gut bacteria to the gutthereby reducing inflammation and increasing fullness 1of sales from this range goes towards charities in support of environmental causes IngredientsTapioca37seaweednori 26non GMO corn oilricesea saltwhite misonon GMO soya beans onion powderadsnackcrispsveganfreefromglutenfreeseaweedseaweedsnacksseaweedcrispsnogmohealthyhealthysnackvegansnackvegancrispssnackideasvegansnackideastreatvegantreatyumyummytastyveganblogveganboyveganbabyraisedvegan, 34
1564,2019-10-20T07:36:18.000Z,abakusfoods,Love this!☺️❤️,42주답글 달기,,Love this,0
1565,2019-10-20T07:36:18.000Z,ameliamaecunningham_,😍😍,42주답글 달기,,,0
1566,2015-06-05T06:45:20.000Z,jiyeon_kate,요거 넘 맛나다~#맥주 안주로 딱~ㅋ어제 오자마자 두봉지 순식간에 뚝딱~구웠다니 살도 안찔꺼 같은 느낌~#김스낵 #오리지날 #바베큐 #비비고 #seaweedcrisps #bibigo #original #bbq,5,#seaweedcrisps #bibigo #original #bbq,seaweedcrispsbibigooriginalbbq,5
1567,2018-12-03T10:30:09.000Z,creamymilkyway,Should have bought the original and BBQ flavor as well. #yummy #seaweed #seaweedcrisps #eatsg #sgfood #koreanfood #foodiesg #koreansnacks #snacks #instafood #foodporn #foodstagram #foodlover #foodcoma #foodphotography #foodoftheday #igsg,21,#yummy #seaweed #seaweedcrisps #eatsg #sgfood #koreanfood #foodiesg #koreansnacks #snacks #instafood #foodporn #foodstagram #foodlover #foodcoma #foodphotography #foodoftheday #igsg,Should have bought the original and BBQ flavor as well yummyseaweedseaweedcrispseatsgsgfoodkoreanfoodfoodiesgkoreansnackssnacksinstafoodfoodpornfoodstagramfoodloverfoodcomafoodphotographyfoodofthedayigsg,21
1568,2020-05-01T10:23:37.000Z,miro_miroe,Snack ..#persiancat #persiancatsofinstagram #persiancats #persiancatstagram #fluffycat #catsofinstagram #catstagram #persiancat_feature #snacktime #snacks #seaweedcrisps #seaweedsnacks #naughtycat #cutecat #crazycatlady #ilovemycat,45,#persiancatsofinstagram #persiancats #persiancatstagram #fluffycat #catsofinstagram #catstagram #persiancatfeature #snacktime #snacks #seaweedcrisps #seaweedsnacks #naughtycat #cutecat #crazycatlady #ilovemycat,Snackpersiancatpersiancatsofinstagrampersiancatspersiancatstagramfluffycatcatsofinstagramcatstagrampersiancat featuresnacktimesnacksseaweedcrispsseaweedsnacksnaughtycatcutecatcrazycatladyilovemycat,45
1569,2019-07-05T15:24:19.000Z,find.brazil,Acordo entre Mercosul e UE é bem recebido por profissionais de comércio exterior.⠀.⠀.⠀.⠀.⠀.⠀.⠀#FindBrazil #ComercioExterno #Export #InternationalBusiness #Entrepreneur #bussiness #cleanoceans #healthysnacks #noplasticintheocean #seaweed #trangtiltang #seamanseaweedchips #seamanchips #superfood #tangchips #seaweedcrisps #grenaa #entrepreneur #firstneverfollows #exportbusiness #tradetraveltransform #motivation #entrepreneurminds #successfulminds #mindsetmentor #moneymindset #motivationfriday #successdiaries #quotesoflife,11,#ComercioExterno #Export #InternationalBusiness #Entrepreneur #bussiness #cleanoceans #healthysnacks #noplasticintheocean #seaweed #trangtiltang #seamanseaweedchips #seamanchips #superfood #tangchips #seaweedcrisps #grenaa #entrepreneur #firstneverfollows #exportbusiness #tradetraveltransform #motivation #entrepreneurminds #successfulminds #mindsetmentor #moneymindset #motivationfriday #successdiaries #quotesoflife,Acordo entre Mercosul e UE bem recebido por profissionais de com rcio exterior FindBrazilComercioExternoExportInternationalBusinessEntrepreneurbussinesscleanoceanshealthysnacksnoplasticintheoceanseaweedtrangtiltangseamanseaweedchipsseamanchipssuperfoodtangchipsseaweedcrispsgrenaaentrepreneurfirstneverfollowsexportbusinesstradetraveltransformmotivationentrepreneurmindssuccessfulmindsmindsetmentormoneymindsetmotivationfridaysuccessdiariesquotesoflife,11
1570,2019-07-05T15:24:19.000Z,luxogroupintl,gud,56주답글 달기,,gud,0
1571,2016-05-27T10:22:59.000Z,zedtheveganleb,#vegeterianrestaurant #babycorn #seaweedcrisps #restaurantoftheyear #lemon,4,#vegeterianrestaurant #babycorn #seaweedcrisps #restaurantoftheyear #lemon,vegeterianrestaurantbabycornseaweedcrispsrestaurantoftheyearlemon,4
