word,count
#vegan,244
#foodie,185
#nori,147
#foodporn,137
#food,133
#glutenfree,112
#healthysnacks,108
#plantbased,105
#instafood,88
#healthy,84
#nongmo,83
#healthysnack,81
#organic,79
#tasty,75
#cleaneating,74
#healthyfood,70
#koreansnacks,66
#snacktime,64
#chomperz,61
#nomnomnom,61
#delicious,59
#koreanfood,59
#seaweedsalad,56
#rice,55
#gim,55
#wasabi,53
#eatwell,52
#soyfree,50
#foodphotography,50
