word,count
#koreansnack,56
#koreanfood,54
#korean,44
#seoul,37
#korea,30
#vegan,28
#healthy,26
#healthyfood,25
#laver,24
#vegetarian,22
#healthysnack,22
#hanbugak,21
#08liter,20
#breakfast,20
