word,count
#vegan,1010
#foodie,711
#healthy,676
#healthysnack,668
#plantbased,537
#food,536
#glutenfree,533
#healthyfood,523
#healthysnacks,483
#nori,481
#foodporn,427
#healthylifestyle,372
#nongmo,341
#delicious,330
#koreanfood,328
#foodstagram,314
#instafood,292
#veganlife,264
#organic,252
#diet,248
#seaveggies,244
#tasty,240
#wholefoods,237
#amazon,218
#malaysia,208
#vegansnack,205
#rumputlaut,203
#snacktime,201
