word,count
#vegan,634
#healthysnack,535
#healthy,516
#foodie,460
#plantbased,408
#healthyfood,387
#glutenfree,341
#food,339
#nori,316
#healthylifestyle,311
#healthysnacks,310
#foodporn,254
#veganlife,250
#nongmo,243
#delicious,230
#foodstagram,219
#diet,218
#seaveggies,218
#amazon,209
#malaysia,196
#wholefoods,195
