,date,user_id,pp_text,tag,like_point
2251,2019-07-29T01:43:42.000Z,foodinrupiah,Sebagai anak yg gampang bgt tergoda potato chipsaku so happy ada snack baru kekinian yangAsliKrenyesnya It s JapotaPotato chips tipe thin cut dengan 2 varian rasa yaitu Umami Japanese Seaweed dan Happy Honey ButterDan rasanya nih pada JUJURyg Umami Japanese Seaweed serasa ngemil nori dicelup kecap JepangSementara Happy Honey Butter rasanya kayak makan butter dikasih madutapi ada hint rasa asinnyaPenasaran guysLangsung aja jajanJapotaID di AlfamartIndomaretdan toko lainnyaIkutan juga yuk lomba foto yg diadakan olehquiveproject danJapotaIDHadiahnya gak nanggung nanggungcekidot caranya 1Upload foto dan ceritakan tentang momen keseruan kamu menikmati Japota varian rasa apa saja2Tema foto BEBAS dan diperkenankan untuk menggunakan teknik editing apapun namun tidak menghilangkan esensi produk dan foto kemasan produk HARUS jelasboleh ada penampakan manusia selama masih sopan3Satu akun Instagram boleh mengirimkan foto sebanyak banyaknya4Followquiveproject danjapotaid5Tag dan mentionquiveproject danjapotaid serta 5 orang teman kamu untuk ikut berpartisipasi 6Jangan lupa untuk menyertakan hashtag QuiveProjectxJapotaJapotaMomentAsliKrenyesnya7Pastikan akun Instagram tidak di lock digemboktidak private dan bisa diakses 8Periode Lomba Foto22 Juli 2019 18 Agustus 2019 dan pengumuman pemenang akan dilakukan pada tanggal 30 Agustus 2019Hadiah Pemenang 1 Apple Watch series35 Logam Mulia20 Voucher MAP total jutaan rupiahNo need to think twicelangsung aja ikutansiapa tau kamu pemenangnyayekaan cus yuk ikut lombanya guysranggarabuarolarolirenelamadokencicikulinerjktinstafoodfoodinrupiahjapotamomentquiveprojectxjapotangemilenakcemilankekinianpotatochipsloverhoneybutterseaweedsnackseaweedchipskeripikkentang,#AsliKrenyesnya #QuiveProjectxJapota #JapotaMoment #AsliKrenyesnya7 #japotamoment #quiveprojectxjapota #ngemilenak #cemilankekinian #potatochipslover #honeybutter #seaweedsnack #seaweedchips #keripikkentang,177
2252,2019-07-29T01:43:42.000Z,foodioz,Bagi dongg,,1
2253,2019-07-29T01:43:42.000Z,pipitfitrya,Kesukaan aku nih 22 nya,,1
2254,2019-07-29T01:43:42.000Z,eatwithkoko,Cucokkk kak mir inii,,1
2255,2019-07-29T01:43:42.000Z,miss.foodculinary,Cemilan enak,,1
2256,2019-07-29T01:43:42.000Z,songofmarch,Ingatt kirimin akuu ya say,,1
2257,2019-07-29T01:43:42.000Z,eloviie.id,Menaaanggg nicchhhh,,1
2258,2019-07-29T01:43:42.000Z,jakartarandomeats,Yg seaweed kusuka bgt,,1
2259,2019-07-29T01:43:42.000Z,jakartafoodprints,Comot ya mir,,1
2260,2019-07-29T01:43:42.000Z,arolarol,CAKEEEPPP BANGET,,1
2261,2019-07-29T01:43:42.000Z,makansamakoko,Sukaa,,1
2262,2013-07-21T23:39:21.000Z,deniza13,healthyseaweedsnack,#healthy #seaweedsnack,4
2263,2013-07-21T23:39:21.000Z,karla.prana,YummmmDon t mind my late night creep session on InstagramExcited for our day date on Thursday deniza13,,0
2264,2013-07-21T23:39:21.000Z,deniza13,Hahakarlasin17 becreepinI can t wait till Thursday,#creepin,0
2265,2018-03-24T20:23:03.000Z,sanbrunomarket,Honey Bee Seaweed Laver is currently on salebuy 2 for5 Regularly priced at3 99 each While supplies last Great little seaweed snack to munch on between meals or even during mealsThey re like little delicious pieces of paper that you can eat Nothey are not good for little memossanbrunomarketsanbrunoasiangrocerysanfranciscoportolaneighborhoodhoneybeelaverseaweedseaweedsnackgotsnackssnackonthisonsale2for5seaweedlavereatthissnackonthisbayareaportolasfgroceryshoppinggrocergrocerygroceriesneigborhoodmarketasiansanfranciscobayareaasianfoodeatseaweedbetweenmealslikepaperdontwriteonit,#sanbrunomarket #sanbruno #asiangrocery #sanfrancisco #portolaneighborhood #honeybeelaver #seaweed #seaweedsnack #gotsnacks #snackonthis #onsale #2for5 #seaweedlaver #eatthis #snackonthis #bayarea #portolasf #groceryshopping #grocer #grocery #groceries #neigborhoodmarket #asian #sanfranciscobayarea #asianfood #eatseaweed #betweenmeals #likepaper #dontwriteonit,27
2266,2018-03-24T20:23:03.000Z,sajjstreeteats,Cool shot,,0
2267,2019-06-12T04:28:03.000Z,kelpiechips,Kelpie Chips have FUCOIDAN which has been shown to mobilize healing and regenerative stem cells when taken orallykelpiechipsamazonhealthysnacknongmoglutenfreevegansnackstemcells seaweedsnackalkalinefoodnutfreekelpfarmkombudetoxificationweightlosshealthyskinhairbonehealthdigestivehealthenergyboostfucoidanpotassiumhormonebalancetracemineralsantioxidantsphytonutrientsanticancerthyroidhealthimmuneboosterantiinflammatorybloodsugarcontrol,#amazon #healthysnack #nongmo #glutenfree #vegansnack #stemcellsseaweedsnack #alkalinefood #nutfree #kelpfarm #kombu #detoxification #weightloss #healthyskinhair #bonehealth #digestivehealth #energyboost #fucoidan #potassium #hormonebalance #traceminerals #antioxidants #phytonutrients #anticancer #thyroidhealth #immunebooster #antiinflammatory #bloodsugarcontrol,24
