date,user_id,pp_text,tag,like_point
2012-08-16T00:45:53.000Z,seaweedlove,Olive oil,,37
2012-07-15T21:04:04.000Z,buenobrandi,Ever sincerebelfaye put these in the guest room for us in Hawaii they have been my favorite seaweedsnackwasabisnacks,#seaweedsnack #wasabi #snacks,31
2012-03-23T07:42:23.000Z,audiibaby,finally my breakfast lunch macdonalds mcspicy cinnamonmelts filletohfish seaweedchips macdonaldsdelivery 67773777,#macdonalds,28
2012-11-13T01:21:08.000Z,leevistreevis,Annie Boo stocking up onseaweedsnack like its the end of the worldmitsuwaiwantyourbloodblah,#seaweedsnack #mitsuwa,25
2012-11-10T14:28:33.000Z,hverdagslykkelise,Ny forsyning fraiherbinciherb Pr ve noe nytt seaweedsnackr sjokolade skal lages Dsunt healthy rawchocolate,#iherb #seaweedsnack #rsjokolade #sunthealthyrawchocolate,25
2012-08-16T00:45:03.000Z,seaweedlove,original seaweed,,24
2012-09-07T00:50:05.000Z,jennifer_cecilia,nori myfavoritesnack evernomnomnom,#nori #favorite #snack #nomnomnom,20
2012-11-28T06:04:50.000Z,caniciete,This might be my new addiction,,19
2012-06-07T01:14:07.000Z,cloudyuniki,My sudden craving for tidbits led me to get thistotally not a good sign,,14
2012-10-28T01:55:28.000Z,tarynntism,October photo challenge day 24AddictionMy addiction is roasted seaweed3 I eat these like they re potato chipsfor realsies octoberoctoberphotochallengeinstachallengeday24addictionseaweedroastedseaweedseaweedsnackomgyesyayAsian,#october #octoberphotochallenge #instachallenge #day24 #addiction #seaweed #roastedseaweed #seaweedsnack #omgyes #yay #Asian,13
2012-10-16T20:53:28.000Z,chentelivy,Eating green stuff today I guessLolYummy,,13
2012-10-13T17:37:56.000Z,lilat612,mom dropped me off food seaweedchipsspringrollsbanhmi,#seaweedchips #springrolls #banhmi,13
2012-10-18T01:07:31.000Z,chamapina,I dislike going to the store without mybabies I never know what they want so I always get avariety ofsnacks for thembeardpapas creampuffs chicharrones yinyan cheeserolls cheesebread ubemacapuno seaweedchips snowpeacrisps shrimpchips,#babies #variety #snacks #beardpapascreampuffschicharronesyinyancheeserollscheesebreadubemacapunoseaweedchipssnowpeacrispsshrimpchips,11
2012-11-21T00:28:24.000Z,jeniferann,seaweedchipswasabiaddicted yum,#seaweedchips #wasabi #addicted,10
2012-09-18T23:28:08.000Z,caricature.of.intimacy,What we get when go into T T seaweedchipscoconutsodatiramisucoffeecoffeecandyloveconcertcutecutieedwardsharpeandthemagneticzereosbylliejo,#coconutsoda #tiramisucoffee #coffee #candy #love #concert #cute #cutie #edwardsharpeandthemagneticzereos,9
2012-12-11T06:36:02.000Z,kennygenius99,Can tStopEatingThese seaweedsnacksecondbag,#seaweedsnack #secondbag,8
2012-06-27T22:00:09.000Z,deedudangdudz,Krystinelly who dzeyahr ugakbugakgoddaughterloveLovelovekyutipiedaldakinaminiontatata,#ugak #bugak #goddaughter #loveLovelove #kyutipie #daldakina #minion #tatata,8
2012-06-03T22:51:14.000Z,bluegraybill,quinoaseaweedsnack,#quinoa #seaweedsnack,8
2012-11-27T01:22:39.000Z,iamamyyik,smashing the hell outta this seaweedchips mmm,#smashing #seaweedchips,7
2012-10-28T21:52:25.000Z,whoisleeyogah,Snack time seaweedsnackanniechun sroastedseaweedsnackwasabikoreanseaweedveganhealthylifestylehealthyinstafit,#seaweedsnack #anniechuns #roastedseaweedsnack #wasabi #koreanseaweed #vegan #healthylifestyle #healthy #instafit,6
2012-08-22T00:43:57.000Z,fancynancpants,Date night withnickdukemusicveggieheavenvegetarianseaweedchips,#veggieheaven #vegetarian #seaweedchips,5
2012-08-17T22:58:52.000Z,t0fud3str0y3r,NoriDo want,,5
2012-07-02T20:58:45.000Z,vv_liam,Soooo addictingseaweedsnack,#seaweedsnack,5
2012-06-28T16:43:28.000Z,thujaba,My new favorite snack seaweedchips,#seaweedchips,5
2012-09-04T09:38:09.000Z,maggiebo0,Yummy chips seaweedchips,#seaweedchips,4
2012-08-22T21:59:46.000Z,mapmakers,The homiekplugg put me on these seaweedSnackGoodnessHealty,#seaweedSnack #Goodness #Healty,4
2012-08-23T03:44:17.000Z,arod486,Seaweedchips anyone wanna try some,#Seaweedchips,3
2012-07-20T14:34:00.000Z,supermhongki,Talo kasi ehHaha 4cornerssipolflipbugakumulankapa,#4corners #sipol #flip #bugak #umulankapa,3
2012-04-18T00:59:05.000Z,avelas0953,xtine1208Omgit does have a kick to it but I love itseaweedsnack,,3
2012-07-09T23:23:14.000Z,fitpourlacause,One thing I really wished I likedseaweedchips Even after living 1 yr in Taiwan I still can t get uses to it,#seaweedchips,2
2012-12-11T06:36:02.000Z,samanthakate7,Disgusting,,0
2012-12-11T06:36:02.000Z,annamatatoya,Love it,,0
2012-12-11T06:36:02.000Z,bertoshotz,loVE iT 2,,0
2012-11-28T06:04:50.000Z,erikalilycastro,Try both the original and the one with wasabiThey are goodI also suggest the baked peas which you can find their am at wincosNow those are addicting,,0
2012-11-28T06:04:50.000Z,caniciete,addictingseaweedsnackseaweedalternativetraderjoesamazingdiscoveryfoodiepdxgroceriessnackhealthierdelicioussushi,#addicting #seaweedsnack #seaweed #alternative #traderjoes #amazing #discovery #foodie #pdx #groceries #snack #healthier #delicious #sushi,0
2012-11-28T06:04:50.000Z,erikalilycastro,Don t forget the 4 flavor humustheir spicy sushichocolate covered berrieschicken saladand something else I can t rememberTrader joes rocks lol,,0
2012-11-28T06:04:50.000Z,caniciete,Thankserilea08 for the awesome suggestionsI m excited to go back to Trader Joe s soon,,0
2012-11-27T01:22:39.000Z,_nappy12oots,U forever eating,,0
2012-11-27T01:22:39.000Z,iamamyyik,Glad I won t feel the need to share them with you1wrotesammy xmadeinthailandx always on each others level hahaha nappyroots don t you forget it,,0
2012-11-21T00:28:24.000Z,restless_roger,jeniferann I love that I can eat all the flavors from originalspicywasabiand seafood,,0
2012-11-21T00:28:24.000Z,jeniferann,azntroublemaker I gotta try the others,,0
2012-11-10T14:28:33.000Z,analiza_gonzales,minstemann i huset elsker seaweed snack,,0
2012-11-10T14:28:33.000Z,lisemettesol,Gleder meg til og se resultatBestille til uka jeg oxoHusk send koden din da,,0
2012-11-10T14:28:33.000Z,hverdagslykkelise,lisemettesol jess D skal sette meg ned sende deg en mail m de prod jeg bruker,,0
2012-11-06T02:41:22.000Z,wikkyshimmy,seaweedsnack traderjoes,#seaweedsnacktraderjoes,0
2012-11-06T02:41:22.000Z,magan_wiggins,That does look very tasty,,0
2012-11-06T02:41:22.000Z,magan_wiggins,J k,,0
2012-11-01T19:54:50.000Z,drdeed79,Trying a new snackseaweedsnack,,0
2012-11-01T19:54:50.000Z,miamiprincess13,Only you,,0
2012-11-01T19:54:50.000Z,drdeed79,miamiprincess13 I know rightLolAnd they were addictivelol,,0
2012-10-28T21:52:25.000Z,whoisleeyogah,Kudos tospgiovanni for trying thisBefore me,,0
2012-10-28T21:52:25.000Z,whoisleeyogah,SoYou asked me to bring you chilliChilli cameum where are you,,0
2012-10-28T21:52:25.000Z,whoisleeyogah,Refer to the previous messagespgiovanni,,0
2012-10-28T21:52:25.000Z,whoisleeyogah,Are you sure about thatspgiovanni,,0
2012-10-25T16:13:02.000Z,hank503,Random gifts from my Singapore colleaguesseaweedchipswasabi,#seaweedchips #wasabi,0
2012-10-18T01:07:31.000Z,roceeta,chamapina I see you went to the AyeShun Stow,,0
2012-10-18T01:07:31.000Z,chamapina,roceeta yesthey got herra yummee snacksI buy some for you mah fren,,0
2012-10-16T20:53:28.000Z,boi_heart_,Is that seaweed chipsI just bought some yesterdayLol,,0
2012-10-16T20:53:28.000Z,chentelivy,Ha yesof course you did we weirdly get the same foods without knowing it,,0
2012-10-16T20:53:28.000Z,monkcp,Love the roasted onesSooo good,,0
