date,user_id,pp_text,tag,like_point
2017-03-05T01:11:31.000Z,sasittube,ASMR EATING SOUNDSIf you like crunchthis is definitely the video for youLink in bio asmrasmrcrunchasmrcrunchycrunchseaweedsnackasmrvidasmrfoodasmrtistasmrtingletreatsasmrsoundsasmrvideoasmrsatisfyingasmrsoothingasmrcommunityasmrsoundasmrrequestsyoutubeyoutubechannelyoutuberrelaxing,#asmr #asmrcrunch #asmrcrunchy #crunch #seaweedsnack #asmrvid #asmrfood #asmrtist #asmrtingletreats #asmrsounds #asmrvideo #asmrsatisfying #asmrsoothing #asmrcommunity #asmrsound #asmrrequests #youtube #youtubechannel #youtuber #relaxing,"8,178"
2017-06-12T14:22:19.000Z,kimchi.the.pug,Grrstupid piece of seaweed stuck to the roof of my mouthHelpunsaltedkoreanseaweed,#unsalted #koreanseaweed,"2,233"
2017-02-10T04:20:24.000Z,kimhua78,Medan wkt tgh malam gempa ygue malah ketiduran ampe jam 9an pagigk terasa deh Telat bgn malas sarapan dibuatin amachiang79 nasi pakai rumput laut ditaruh dikit minyak wijen then dikepal kepalin lgs jadi deh enak banget must buy kalo jjs ke seoul yaayummyfoodfoodporninstagoodinstalikelikeforlikelike4liketagsforlikesappnomnomkulinermedanmakanmanaseaweedseaweedsnackphotoofthedaylovefoodstagraminstadailyinstapic,#yummy #food #foodporn #instagood #instalike #likeforlike #like4like #tagsforlikesapp #nomnom #kulinermedan #makanmana #seaweed #seaweedsnack #photooftheday #love #foodstagram #instadaily #instapic,929
2017-12-11T08:48:02.000Z,rosebud.eats,Fancy PantsRamen Noodlesmaruchan inc instant pork Ramen noodles chosenfoods sesame oil kikkomanusa soy sauce huyfongfoods Srirachagreen onionroasted seaweed snacks frysfoodstores Private Selection Sliced Boneless Honey cured Hamand a marinated soft boiled eggEgg Recipe food52Momofuku s Soy Sauce Eggs Dish Towel worldmarketSwipeto see a close upand make sure to followrosebud eats for more food inspirationramenramennoodlessemihomemademarinatedeggeggsoftboiledeggnoodlessoupgreenonionhamslicedhamponyotokyofoodjapanesefooddishtowelnoriseaweedseaweedsnacksoysaucesrirachasesameoilfoodpornworldmarketfoodphotographyfoodblogbloggerrosebudeatskikkomanrecipe,#ramennoodles #semihomemade #marinatedegg #egg #softboiledegg #noodles #soup #greenonion #ham #slicedham #ponyo #tokyofood #japanesefood #dishtowel #nori #seaweed #seaweedsnack #soysauce #sriracha #sesameoil #foodporn #worldmarket #foodphotography #foodblog #blogger #rosebudeats #kikkomanrecipe,491
2017-12-08T04:07:24.000Z,japancandybox,Did you enjoy the Seaweed Wasabi Okome Snack from last month s box The perfects Japanese snackSubscribe now to get the January boxLink in biojapancandyboxglicowasabisnackjapanesesnacksnacktimeseaweedsnackwasabiloverricecrackeryummysaltysnackfoodlover,#glico #wasabisnack #japanesesnack #snacktime #seaweedsnack #wasabilover #ricecracker #yummy #saltysnack #foodlover,442
2017-09-05T09:55:36.000Z,kmall24_official,The Korean Snacks You Absolutely Have To Try These are not the one that can be found at Asian supermarkets or in theAsian foodssection of American grocery storesWanna learn more about Korean foodThen you should check out our Korean food selection and free shipping event on kmal24 comShop now and get Wanna One s YO HiLink at the bio,,416
2017-08-25T12:48:10.000Z,jeffersonmanaladofficial,Thank you po sa nag bigay di po kita memention iwas issue haha seaweedsnack,#seaweedsnack,355
2017-10-14T06:58:38.000Z,mingleseoul,heesookchobugakkoreanbeauty,#bugak #koreanbeauty,339
2017-10-05T10:32:06.000Z,eatsasmallworldph,I never eatseaweed beforeBut not anymoreThis is my new fave snack while workingreadingplayingstudyingwatching and moreI can t find any reason not to eat itAng sarap talaga thisseacharonOhhcrispyseaweedcrackers please don t leave meI need you in my life snackssnacknoriseaweedsseaweedsnackseatsasmallworldsupportlocalsupportlocalphpinoyproductchicharon,#seaweed #seacharon #snack #nori #seaweeds #seaweedsnacks #eatsasmallworld #supportlocal #supportlocalph #pinoyproduct #chicharon,334
2017-04-03T12:48:07.000Z,eluxemagazine,Happy MondayStart your week with a healthy bangwe ve got 30veganseaweed and algae recipes you d never guess were based on sea vegetablesSeaweed IS the newsuperfood vegansofigveganrecipesveganfoodpornveganbreakfastsmoothiebowlseaweedsnacksuperfoodshealthyfoodhealthyeatinghealthybreakfastmeatlessmonday,#vegan #seaweed #superfood #veganrecipes #veganfoodporn #veganbreakfast #smoothiebowl #seaweedsnack #superfoods #healthyfood #healthyeating #healthybreakfast #meatlessmonday,323
2017-11-20T13:39:34.000Z,glutenfree_frankie,Cod wrapped in Parma hampurple sprouting broccoliwilted spinach tomatoes itsuofficial seaweed crisps and brown lentils with tahinithis weeks meal prep is looking goood,,315
2017-09-06T16:42:20.000Z,eatlikeagirl,If only life were as simple and lovely as these seaweed and spring onion flatbreads Yeasted and raised slowly overnightthen pan fried until crisp outside and fluffy withinI use dulse here but your favourite seaweed will do tooDelicious and speedy in terms of the actual time you need to spend doing stuffPerfect for runny eggs and drive by snackingThis recipe will be all yours soonhomebakingbreadseaweed,#bread #seaweed,285
2017-10-31T13:28:13.000Z,konsciouslyklean,When Halloween falls on atoasttuesday this is what happens Mashed up an and mixed it withfurtherfood marine collagen peptidesKLEAN10 for discount I also added a couple olives seaweed to complete Frankenstein s faceHappy HalloweenWhat s your costume,#toasttuesday,258
2017-07-11T18:32:14.000Z,99designs,Seaweed snacks never looked so goodPackaging by Holiday26packagingseaweedchipsseaweedsnacks,#seaweedchips #seaweed #snacks,258
2017-07-23T15:34:20.000Z,__vibratinghigher,A mouth full of seaweed chips makes a happy MermaidMERMAIDYEMAYAseaweedchipsseaweedsnacksnomnomnom,#MERMAIDYEMAYA #seaweedchips #seaweedsnacks #nomnomnom,249
2017-11-30T16:54:42.000Z,flettucefit,Step 2 of preparing for a cutGROCERY HAULTake the time to roam your local grocery store find YOUR FOOD STAPLES Foods that are both macro friendly AND delicious because I promise they doooo exist if you take the time to read your labelsAnd PLEASE ignore those diet trends You do not have to exist on a kale and chicken diet if you HATE kale and chickenSimply make healthier choices that TASTE GOOD Swipefor some of my staple proteinssnacksand veggies that will get me through this cutComment below your favorite macro friendly or low calorie snack I should try,,245
2017-09-20T16:40:29.000Z,themrskray,Light lunch at home before heading into work shortlyI ve only got one 90 min massage today then I m off until Tuesday So for lunch I made some wasabi tuna salad stacks with an egg on the side 4sp 258 caloriesHere s the breakdownI placed seaweed sheets on the rice crackeradded wasabi tuna saladtopped it with cucumberavocadoslaw mixsliced seaweed strips and black sesame seedsTotally should have added some srirachathat would have been amazingNext time though 0Wasabi tuna salad1 pouchstarkistcharlie tuna in water02g wasabi paste018g Greek yogurt0pinch of sea salt12lundbergfarms Thin stackers rice cakes04 sheets roasted seaweed snack117g avocado0shredded slawcucumber2egg seaweed stripswwlunchtunaproteinricecakesseaweedsnackwasabiweightwatchersWWAmbassadorweightwatchershealthywwwwsmartpointssmartpointshealthyeathealthyeatingwellhealthyeatsfitfoodieeatwellrealfoodfitfambuzzfeedfoodweightlossmotivationfeedfeedhealthyfoodpornwwfooddiarywwcommunitywwfamily,#4sp258 #tuna #protein #ricecakes #seaweedsnack #wasabi #WWAmbassador #weightwatchers #healthyww #wwsmartpoints #smartpoints #healthy #eathealthy #eatingwell #healthyeats #fitfoodie #eatwell #realfood #fitfam #buzzfeedfood #weightloss #motivation #feedfeed #healthyfoodporn #wwfooddiary #wwcommunity #wwfamily,233
2017-10-26T14:33:52.000Z,gimmegrams,gaspsCandy CornscreamsgimMe all the seaweedHappyNationalPumpkinDay P SThere s a secret announcement hidden in this photoCan you spot it,#NationalPumpkinDay,214
2017-03-22T02:19:52.000Z,veganhenning,Salad basicsaladnutritionhealthyfoodlettucetomatocucumberrainbowbabycarrotswallnutsblueberrysand those are seaweedcrisps they are seaweed on top of a brown rice chipthey are vegan plantbasedveganwhatveganseatvegetarianorganic except the chipshealthynogmos on everythingfoodpicinstafoodinstapics,#nutrition #healthyfood #lettuce #tomato #cucumber #rainbowbabycarrots #wallnuts #blueberrys #vegan #whatveganseat #vegetarian #organic #healthy #nogmos #foodpic #instafood #instapics,214
2017-05-21T10:56:58.000Z,bekki_55,RCCSGP Photo byth choirccride rccselbugak recoverride,#rccriderccsel #bugakrecoverride,210
2017-06-14T16:44:58.000Z,jae_lee06,Seaweed before their water changebutterflytelescopesakuraranchudandyorandaseastcoastranchuredandwhiteorandacoastgemusacalicoryukinseaweedsnackwaterchangedaycleaningcleantankgoldfishunionfancygoldfish,#butterflytelescope #sakuraranchu #dandyorandas #eastcoastranchu #redandwhiteoranda #coastgemusa #calicoryukin #seaweedsnack #waterchangeday #cleaning #cleantank #goldfishunion #fancygoldfish,209
2017-11-21T13:03:34.000Z,greatbritishfood??????????????,Which sweet treat takes you down memory laneYellowman candy will be high on the list for those who grew up in Northern IrelandThe toffee basedhoneycomb delight is sold in bundles at the famous Auld Lammas Fair in Ballycastlewhere it was traditionally served with crispy seaweedDon t knock it till you try italwaysalejandraGREATBritishFood,,207
2017-08-17T16:02:22.000Z,woodyandbee,Woody s new favourite snackdried seaweedseaweedseaweedsnackanackdoggysnackcuteandfluffydoggydaysfluffydogssummerdoggiesdoggydaysdoggypicslhasafunlhasalovelovedogslovemydogbeachdog,#seaweed #seaweedsnack #anack #doggysnack #cuteandfluffy #doggydays #fluffydogs #summer #doggies #doggydays #doggypics #lhasafun #lhasalove #lovedogs #lovemydog #beachdog,206
2017-01-17T14:54:48.000Z,kjdaisuke,SEAWEEDCRISPSw KJTOKYO,,204
2017-04-20T23:15:11.000Z,knightrhythm,Happy 4 20seaweedseaweedsnackusdaorganicvegan,#seaweed #seaweedsnack #usdaorganic #vegan,202
2017-03-27T16:13:39.000Z,lucky.me.vanderwoof.nyc,FriendsI swearI will never everEat seaweed againUntil next timeLove Lucky ckcspuppyckcspicspaloaltodogscavaliercornerbeachpupbeachpuppydogsofcaliforniadogsofcaliblenheimcavdogsoftribecaitsacavthingcavviecavpupcavpuppycavpuppiespuppybeachpuppytudepuppywalkspuppywalksansiemonseaweedsnackdogsoflosangelesckcsblenheimstanforduniversityuniversitytouruniversitystanfordstanfordstanfordcampusstandforddogpaloaltodog,#ckcspics #paloaltodogs #cavaliercorner #beachpup #beachpuppy #dogsofcalifornia #dogsofcali #blenheimcav #dogsoftribeca #itsacavthing #cavvie #cavpup #cavpuppy #cavpuppies #puppybeach #puppytude #puppywalks #puppywalk #sansiemon #seaweedsnack #dogsoflosangeles #ckcsblenheim #stanforduniversity #universitytour #universitystanford #stanford #stanfordcampus #standforddog #paloaltodog,202
2017-02-21T21:29:23.000Z,snackologist,salt andseaweedpringlesus fromsingaporeThe seaweedflavor is very subtle andtastytastes likenorisnacksSo excited to be heading tohongkong tomorrow cantwait to go snack hunting there travelinstafoodfollowmesavorylunchchipscrispseatinternationalseaweedchipsinstagoodasianasiansnacks,#salt #seaweed #singapore #flavor #tasty #tastes #nori #snacks #hongkong #cantwait #travel #instafood #followme #savory #lunch #chips #crisps #eat #international #seaweedchips #instagood #asian #asiansnacks,196
2017-10-20T15:29:28.000Z,anniepannie_nl,Ga jij vanavond de stad in of plof je lekker op de bank met een fleecedekentje en een leuke serieIk het laatste In beide gevallen ga je deze sjieke borrelhapjes waarschijnlijk niet makenmaar toch deel ik ze maar even met jeZe zijn namelijk zlekkerDeze zeewierchipjes met zalmtartaar kunnen trouwens ook perfect als amuse voorafgaand aan een uitgebreid dinerMet Kerst ofzo Te vroeg nog,,185
2017-05-11T16:03:34.000Z,wensdelight,Glad to know that my all time favourite snacks from Thailand are now in Singaporeavailable exclusively at all7elevensg outlets 1Tao Kae Noi s Big Sheet Roasted Seaweedavailable in 2 flavoursOriginal and Tom Yum GoongComes in stylish reseal able zipperretails at S 3 50 onwards per pack 2Bento Squid Seafood Snack made with high quality squid and fish meat available in 2 flavoursNori Seaweed and Spicy TakoyakiRetails at S 2 00onwards per packThank youbrandcellar wensponsoredpostmay2017sgfoodiesgigthailandsnacktaokaenoibentobigsheetalltimefavoriteseaweedsnackmediapackbentosquidseafoodsnacksansesanglobal7elevensg,#brandcellar #wensponsoredpost #may2017 #sgfoodie #sgig #thailandsnack #taokaenoi #bento #bigsheet #alltimefavorite #seaweedsnack #mediapack #bentosquidseafoodsnack #sansesanglobal #7elevensg,179
