date,user_id,pp_text,tag,like_point
2019-02-09T14:24:14.000Z,goodfoodasmr,ItValentine s day next weekWhat s your ideal Valentine s present or date FoodSeaweed goodfoodasmr asmreatingasmreatingsoundseatingasmrasmreatingshoweatingshowasmrasmreatingsoundfoodeatingasmrasmrfoodeatingasmrfoodnoisesasmrfoodasmrmukbangasmrsoundasmrsoundsasmrvideoasmrvideosasmrrelaxasmrcommunityasmrtinglesasmrcrunchymukbangasmreatingsoundseatingsoundmukbangeatingsoundasmrtherapyasmrtriggerasmrsleepcrunchyasmrseaweedsnacksseaweedsnackseaweedchips,#asmreatingsounds #eatingasmr #asmreatingshow #eatingshowasmr #asmreatingsound #foodeatingasmr #asmrfoodeating #asmrfoodnoises #asmrfood #asmrmukbang #asmrsound #asmrsounds #asmrvideo #asmrvideos #asmrrelax #asmrcommunity #asmrtingles #asmrcrunchy #mukbangasmr #eatingsounds #eatingsound #mukbangeatingsound #asmrtherapy #asmrtrigger #asmrsleep #crunchyasmr #seaweedsnacks #seaweedsnack #seaweedchips,"2,099"
2019-02-19T06:15:22.000Z,megunprocessed,Would you eat this sandwich Rice wrapped in nori sheets that can be filled with whatever you prefer like tofu or tempeh and veggiesThese are called Onigirazualso known as sushi sandwiches Repostdelicious plantsOnigirazussushisandwichsushisandwichesvegansushisushirollvegansandwichricesandwichriceveganlunchplantbasedeatingseaweedsnackssushirollsseaweedsnackglutenfreeveganveganafhealthyveganfoodplantbasedfoodieplantbasedlifeplantbasedfoodsplantbasedeatingplantbasedrecipeveganlunchideassacramentoveganveganheaveneasyvegancrueltyfreefoodjustveganveganmealideasveganinspirationanythingyoucaneaticaneatvegan,#sushisandwich #sushisandwiches #vegansushi #sushiroll #vegansandwich #ricesandwich #rice #veganlunch #plantbasedeating #seaweedsnacks #sushirolls #seaweedsnack #glutenfreevegan #veganaf #healthyveganfood #plantbasedfoodie #plantbasedlife #plantbasedfoods #plantbasedeating #plantbasedrecipe #veganlunchideas #sacramentovegan #veganheaven #easyvegan #crueltyfreefood #justvegan #veganmealideas #veganinspiration #anythingyoucaneaticaneatvegan,"2,090"
2019-03-20T00:35:42.000Z,carolstoffella,Um dos meus pratos favoritos italiano que se adequa super bem a meu card pio Ayurvedico gnocchi salteado com creme de queijo muzzarelavegan ao fundo homemade molho de cebola caramelizada e salvia crocante com crisp de algasseaweedcrisps Sangue de Stoffella n o negoUsando boa parte do que preciso alimentos naturalmente docescomonuts e batata baroa Azedo pq usei meu sal c tricovou passar areceita pra vocesbem pouco de picante spices certas pra minha constitui aoPimenta da Jamaicapouca Semente de Coentrotem o mesmo sabor que as folhasAneto C rcumaMacecasquinha da Noz Moscada mostro no storiesSementes de Mostarda GengibrepoucoEm outros pratosuso outras especiarias indicadas pra mim tamb mQuer saber mais clean detoxdietaalimentacao oi carolstoffella com brcheflifechefayurvedabalancewellnessbemestarlongevidaderasayanalifestyleveganplantbasedgnocchinhoquesemglutenitalianfoodsemlactoserjspsaopauloriodejaneiro,#gnocchi #vegan #homemade #seaweedcrisps #nuts #receita #dieta #alimentacao #cheflife #chef #ayurveda #balance #wellness #bemestar #longevidade #rasayana #lifestyle #vegan #plantbased #gnocchi #nhoque #semgluten #italianfood #semlactose #rj #sp #saopaulo #riodejaneiro,978
2019-07-05T23:08:38.000Z,megunprocessed,Yay or Nay Sushi Burrito Crispy tofuveggiesblack rice and avocado wrapped up in nori seaweedYou can make them sushi rolls just by cutting it It s actually easier to prepare than you might expect plus it hits the flavor spotFull recipeanettvelsbergvegansushisushiburritosushirollsveggiesushinoriseaweedsushilifebestsushiseaweedseaweedsveganwrapveganburritoseaweedsnackseavegetablesseaweedsnacksveganyumfishfreevegetarianmealvegetarianfood meatlessmealsmeatlessmealvegandinnerideasveganeatingveganforhealthveganmealideaseatplantsnotanimalswholefoodplantbasedeatveganveganlunchveganlunchideashealthymealideas,#sushiburrito #sushirolls #veggiesushi #noriseaweed #sushilife #bestsushi #seaweed #seaweeds #veganwrap #veganburrito #seaweedsnack #seavegetables #seaweedsnacks #veganyum #fishfree #vegetarianmeal #vegetarianfood #meatlessmeal #vegandinnerideas #veganeating #veganforhealth #veganmealideas #eatplantsnotanimals #wholefoodplantbased #eatvegan #veganlunch #veganlunchideas #healthymealideas,910
2019-01-14T17:53:20.000Z,savory_af,Who doesn t like a goodseaweed saladWe especially love ours on pok,#seaweed,730
2019-06-05T03:38:46.000Z,mai_furuya,5rawsoukorganic glutenfree vegan rawfood algaran organicseaweed seaweedchips,,721
2019-11-08T01:18:08.000Z,korea_box,This is how BugakKorean Seaweed Crispis madeBugak is deep frying dried seaweed coated with glutinous rice paste and then drying them againThis month we prepared another fun Korean Snack Box featuring BugakPluswe prepared diverse types of unique and authentic Korean Snacks for youKorean SnacksFREE International Shipping Price starts from17 99korea box comlink in bio foodfoodieigfoodfoodstagram daily instagoodlfll4linstafoodfoodfoodie foodstagraminstafoodfoodiesdelicious foodporninstagood tastyyummyfoodpic followmefoodscookinglikeforlikebtsexogot7monstaxblackpinktwicenct127kpop,#Korean #FREE #foodie #igfood #foodstagramdailyinstagood #lfl #l4l #instafood #food #foodiefoodstagram #instafood #foodies #deliciousfoodporn #instagoodtasty #yummy #foodpicfollowme #foods #cooking #likeforlike #bts #exo #got7 #monstax #blackpink #twice #nct127 #kpop,695
2019-04-16T17:23:01.000Z,outdoorcheflife,The video is now up outdoorcheflifeseaweedcookingoutdoorsseaweedsnackkelpforagingforfoodoceaniccoastalforagingforagedfoodwildfoodmusselsoutdoorlivingoutdoorcookingfreefoodbayareaeatssfeatsmodernoutdoorsmenoutdoorsurvivalbestfoodbayareaseekadventureliveadventurouslyoverthefirecooking,#outdoorcheflife #seaweed #cookingoutdoors #seaweedsnack #kelp #foragingforfood #oceanic #coastalforaging #foragedfood #wildfood #mussels #outdoorliving #outdoorcooking #freefood #bayareaeats #sfeats #modernoutdoorsmen #outdoorsurvival #bestfoodbayarea #seekadventure #liveadventurously #overthefirecooking,683
2019-04-03T21:33:56.000Z,lilynicholsrdn,Sometimes simple combinations are the bestavocado slices on nori with a little sea salt2 plates of these were an awesome midday snack my body got a nice boost of electrolytestrace mineralsB6and iodine realfoodforpregnancyrealfoodforgdiodinehealthyfatseaweedsnacklowcarbsnackideasmicronutrientsmatter,#realfoodforpregnancy #realfoodforgd #iodine #healthyfat #seaweedsnack #lowcarbsnackideas #micronutrientsmatter,654
2019-04-11T06:24:20.000Z,oldcroissant,ColazioneseoulZuppa di patate dolciSweetpotatosoup sweetpotato soup zuppa laudemio granola muesli chestnut Bugak laverchips laver thebugak,,634
