date,user_id,pp_text,tag,like_point
2015-04-22T07:34:26.000Z,abigailoneill,This again Just too good I could eat it every day Supersalad withBeatingcancernaturally Raw Kim Chizoodlesbeetsolivesgarlicquinoaseaweed chippieson the blog cashew cheesesun sproutiesfresh basil and rocket from the garden Lime juicecayenneflax oiland Celtic saltSo easy and YUMMMM,#Supersalad,271
2015-10-26T10:10:07.000Z,hungrygowhere,How about a shopping voucher to go with your favouriteseaweedsnackFrom now till 15th December 2015look out for one of theseZalora stickers whenever you buy a crispy seaweed snack fromTaoKaeNoipriced from2 30 On the inside is a10 online voucher with no minimum spendso you can shop away while you snack on some pretty addictive seaweed tknsgHungryGoWhere,#seaweedsnack #Zalora #TaoKaeNoi #tknsg #HungryGoWhere,238
2015-10-17T06:02:43.000Z,mjteo,Tao Kae Noi seaweed snacks are most of our favorite snackit s so addictiveOnce you popyou can t stopGood news to all fans of Tao Kae Noi seaweed snackYou can receive a S 10 ZALORA voucher in every packet of Tao Kae Noi seaweed snack from now till 15 December 2015 No minimum spending needed when redeeming the S 10 voucherMystery prizes worth over S 13 000 await as wellFor more informationplease visit www zalora sg taokaenoi,,203
2015-04-02T20:35:06.000Z,munchpak,Seaweed sushi flavoredLays potato chipsYesthis is real life CrazyChipFlavors,#Lays #CrazyChipFlavors,202
2015-08-09T23:25:04.000Z,houseofxtia,When you can t decideorder it allthaiteastickyriceseaweedchipssakooThipKhaoDCWillTravelForFood,#thaitea #stickyrice #seaweedchips #sakoo #ThipKhaoDC #WillTravelForFood,124
2015-08-19T19:01:22.000Z,growingingracedaily,Our first experience at Trader JoesWe are just so Hippielike wow manpeaceseaweedchipslovetheplants donoteatseaweedchipsYUCK,#seaweedchips #lovetheplants #donoteatseaweedchipsYUCK,122
2015-10-23T14:37:31.000Z,allroadsleadtohealthy,Snackin ontheseaofchangetradingcompany s gardenvegetableseaweedsnacksand they aredeliciousI m a big fan of seaweed snacks alreadyand these take it to another levelIf you ve never had seaweed or have and didn t like itI d really recommend giving these a try,#vegetable #seaweed #snacks #delicious,119
2015-02-27T09:04:57.000Z,rupert.official,San pwedeng makabili nitokhobarAreapleasepocravingsseaweedsnack,#khobarArea #pleasepo #cravings #seaweedsnack,111
2015-11-06T04:59:01.000Z,a2009t,lunchtimelunchdumplingsapplesodaseaweedchips lays,#lunchtime #lunch #dumplings #applesoda #seaweedchipslays,107
2015-11-15T01:06:11.000Z,boxedwholesale??????????????,What does your order say about youShow us your Boxed obsessions and we ll share our favorites kieuty78,,105
2015-02-21T20:05:25.000Z,sharing_healthy_eats,My baby loves seaweed,,102
2015-10-21T19:47:56.000Z,journeys2fitness,My newest fit snack grilled seaweed chipsDon t knock it till you try itI suggest you try atleast one if you Havent you tried them alreadyVery goodStay strongfitfam,#fitfam,91
2015-03-24T18:55:44.000Z,alexls_,Junk food time,,87
2015-05-05T12:13:35.000Z,dame_lence,Meal planning in my new Star Trek lunchbox This week I packed wasabi chipsa French pairI think it s French avocadosmoothie bowland my premade saladThe smoothie is the same recipe from last weekI can t get enoughThe salad jar has green lentilsmixed slawmeatless taco meatmixed greenscilantroand green onionsgorawcleaneatingmealplanningfitchicksanniechungsvegansmoothiebowlorganicfoodsorganicigdailysmoothiebowlmealinthegoveganfoidshealthylivingfitnesstrekkieloveTrekkiestartreklivelongandprospervscocamroastedseaweedchipsseaweedchipsblerdscifigeekscifi,#goraw #cleaneating #mealplanning #fitchicks #anniechungs #vegan #smoothiebowl #organicfoods #organic #igdaily #smoothiebowl #mealinthego #veganfoids #healthyliving #fitness #trekkielove #Trekkie #startrek #livelongandprosper #vscocam #roastedseaweedchips #seaweedchips #blerd #scifigeek #scifi,75
2015-01-28T16:22:09.000Z,kollinsart,Mermaids like Roasted Seaweed SnacksAcrylic on masonitepaintingillustrationartsignartmyartdrawingpaintartworkmermaidseaweedsnacktraderjoestraderjoesartsillyfun,#illustration #art #signart #myart #drawing #paint #artwork #mermaid #seaweedsnack #traderjoes #traderjoesart #silly #fun,72
2015-02-13T03:51:34.000Z,laurenpatonrhn,LeftoversLunch Baked Tamari SalmonGinger Miso Wild Riceand Broccoli Dandelion Salad w 1 2 an AvocadoSnacksPink Lady AppleRoasted Seaweedand Superfood Mix,,69
2015-01-13T15:23:11.000Z,omgwtfivf,Only 60 calories for the whole packageAnd that s goodbecause I am most definitely going to eat this entire package right nowLove traderjoesseaweedsnackwasabiyum,#traderjoes #seaweedsnack #wasabi #yum,67
2015-03-03T00:58:27.000Z,fatgirltrapped,Sharing is caring seaweed,#seaweed,66
2015-01-26T22:18:34.000Z,icetea4ya,healthyeatingseaweedchips,#healthyeating #seaweedchips,65
2015-01-24T19:29:22.000Z,veganfergiefitness,Eatingveganfood as avegan is NOT as expensive as everyone thinksYou just have to know how to be acheapskate and have an awesome store likedealmartEverything pictured here from0 25 for silk hazelnut creamer at the cheapest and2 00 for Bahamaricemeatballs andbeachgrillers at most expensive kamutcakes0 33 kale and chia chips1 hemptofu and othertofu1 seaweedchips0 50 terrablues1 saffronroadchickpeas1 westsoy1 beet pur e0 50 greencurry kit1and the not picturedveganscallops1Only had real scallops once years ago so doubt I ll remember if the flavor is the sameAnyone else triedveganseafood and liked itWho else gets crazy happy overclearancepricescheapskateforlifeveganonthecheapveganfoodsharewhatveganseathealthyonthecheapstockingupgoveganveganbodybuilderplantpoweredvegankitchen,#veganfood #vegan #cheapskate #dealmart #ricemeatballs #beachgrillers #kamutcakes #kale #hemptofu #tofu #seaweedchips #terrablues #saffronroad #chickpeas #westsoy #beet #greencurry #veganscallops #veganseafood #clearanceprices #cheapskateforlife #veganonthecheap #veganfoodshare #whatveganseat #healthyonthecheap #stockingup #govegan #veganbodybuilder #plantpowered #vegankitchen,65
